symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,dynamic_threshold_active,drift_stop_tightened,soft_trim_done,soft_tighten_done,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total
ETH,conservative,long,2025-08-07 09:25:00,2025-08-09 21:25:00,3724.99,4269.11,5.520989829592838,max_hold_time,breakout,True,720,1,7.0,0.018534507439208932,False,False,False,False,0.17189558505666883,5.349094244536169,133.72735611340423,133.72735611340423
ETH,conservative,long,2025-08-10 19:25:00,2025-08-11 10:45:00,4242.77,4242.77,0.26664,stop,breakout,True,184,1,7.0,0.02212070651956175,False,False,False,False,0.09556656782777488,0.1710734321722251,4.276835804305628,138.00419191770985
ETH,conservative,long,2025-08-13 18:10:00,2025-08-14 01:20:00,4742.68,4724.91,-0.1341649914676533,basket_circuit_breaker,breakout,True,220,0,7.0,0.02792700724474081,False,False,False,False,0.05714898077023836,-0.19131397223789165,-4.782849305947291,133.22134261176257
ETH,conservative,long,2025-08-31 09:10:00,2025-08-31 23:30:00,4472.18,4393.890102289945,-1.0,stop,breakout,True,172,0,7.0,0.017505980910887956,False,False,False,False,0.08568500146524582,-1.085685001465246,-27.14212503663115,106.07921757513142
ETH,conservative,long,2025-09-03 17:25:00,2025-09-04 05:20:00,4480.0,4376.240895466702,-1.0,stop,breakout,True,143,0,7.0,0.023160514404754095,False,False,False,False,0.06226113871218701,-1.062261138712187,-26.556528467804675,79.52268910732676
ETH,conservative,short,2025-09-04 18:25:00,2025-09-05 07:25:00,4280.6,4373.4511003104,-1.0,stop,breakout,True,156,0,7.0,0.021691141501284743,False,False,False,False,0.06767739724131401,-1.067677397241314,-26.69193493103285,52.83075417629391
ETH,conservative,long,2025-09-10 08:55:00,2025-09-10 18:45:00,4332.41,4332.41,0.26664,stop,breakout,True,118,1,7.0,0.01314923368188206,False,False,False,False,0.1507312173431779,0.11590878265682208,2.897719566420552,55.72847374271446
ETH,conservative,long,2025-09-12 13:55:00,2025-09-15 01:55:00,4539.64,4618.15,1.205548305496941,max_hold_time,breakout,True,720,1,7.0,0.01228035262708056,False,False,False,False,0.25943880414103515,0.9461095013559058,23.652737533897643,79.3812112766121
ETH,conservative,short,2025-09-16 11:05:00,2025-09-16 17:15:00,4496.01,4496.01,0.26664,stop,breakout,True,74,1,7.0,0.010404391894146006,False,False,False,False,0.18203851020506565,0.08460148979493434,2.1150372448733585,81.49624852148547
ETH,conservative,short,2025-09-17 14:25:00,2025-09-17 22:25:00,4474.32,4549.809745616787,-1.0,stop,breakout,True,96,0,7.0,0.016871780654219487,False,False,False,False,0.07989672386256852,-1.0798967238625685,-26.997418096564214,54.49883042492125
ETH,conservative,short,2025-09-19 11:55:00,2025-09-21 23:55:00,4513.8,4444.97,0.9462164827661766,max_hold_time,breakout,True,720,1,7.0,0.014959861441119026,False,False,False,False,0.21296988695649852,0.7332465958096781,18.33116489524195,72.8299953201632
ETH,conservative,short,2025-09-23 02:25:00,2025-09-24 05:35:00,4159.01,4159.01,0.26664,stop,breakout,True,326,1,7.0,0.015520361816874585,False,False,False,False,0.15450670727229848,0.1121332927277015,2.803332318192538,75.63332763835574
ETH,conservative,short,2025-09-26 07:40:00,2025-09-26 17:35:00,3908.91,4026.8928699999997,-1.0,stop,breakout,True,119,0,7.0,0.030183061262602572,False,False,False,False,0.04618484479992738,-1.0461848447999273,-26.154621119998183,49.478706518357555
ETH,conservative,long,2025-09-28 00:25:00,2025-09-28 12:40:00,4029.45,3975.0734155027667,-1.0,stop,breakout,True,147,0,7.0,0.0134947907275765,False,False,False,False,0.10744886892072629,-1.1074488689207262,-27.686221723018157,21.792484795339398
ETH,conservative,long,2025-10-02 15:55:00,2025-10-03 08:15:00,4437.09,4437.09,0.26664,stop,breakout,True,196,1,7.0,0.018748382385752802,False,False,False,False,0.11403650491066902,0.15260349508933096,3.815087377233274,25.607572172572674
ETH,conservative,long,2025-10-03 10:55:00,2025-10-03 17:00:00,4489.56,4489.56,0.26664,stop,breakout,True,73,1,7.0,0.0146980995910513,False,False,False,False,0.1287241243862515,0.1379158756137485,3.447896890343712,29.055469062916387
ETH,conservative,long,2025-10-06 06:10:00,2025-10-07 15:05:00,4548.07,4548.07,0.26664,stop,breakout,True,395,1,7.0,0.016369004946353263,False,False,False,False,0.15492694933573087,0.11171305066426912,2.792826266606728,31.848295329523115
ETH,conservative,short,2025-10-10 05:10:00,2025-10-12 15:55:00,4334.38,4034.59,2.651901062398905,reversal,breakout,True,705,1,7.0,0.019332352031893943,False,False,False,False,0.1632496653688762,2.4886513970300292,62.21628492575073,94.06458025527384
ETH,conservative,long,2025-10-25 06:10:00,2025-10-27 18:10:00,3934.38,4230.82,3.2129216396890428,max_hold_time,breakout,True,720,1,7.0,0.017049698229874385,False,False,False,False,0.18686547744390625,3.0260561622451365,75.65140405612841,169.71598431140225
ETH,conservative,short,2025-10-29 10:55:00,2025-10-31 22:55:00,3989.07,3855.66,1.3853243435248823,max_hold_time,breakout,True,720,1,7.0,0.019931483386271653,False,False,False,False,0.15984761085040178,1.2254767326744807,30.636918316862015,200.35290262826427
ETH,conservative,long,2025-11-09 11:55:00,2025-11-11 15:55:00,3428.37,3481.1,0.7726096232482755,reversal,breakout,True,624,1,7.0,0.020266376022789107,False,False,False,False,0.14773238178514556,0.62487724146313,15.621931036578248,215.97483366484252
ETH,conservative,short,2025-11-20 15:55:00,2025-11-23 02:55:00,2955.68,2821.12,1.1563799453681678,reversal,breakout,True,708,1,7.0,0.0341134726694806,False,False,False,False,0.09269065130472229,1.0636892940634455,26.592232351586137,242.56706601642867
ETH,conservative,long,2025-11-27 19:40:00,2025-11-28 16:25:00,3035.88,3035.88,0.26664,stop,breakout,True,249,1,7.0,0.017486125933831337,False,False,False,False,0.1283303121852974,0.1383096878147026,3.457742195367565,246.02480821179623
ETH,conservative,short,2025-12-07 14:10:00,2025-12-07 15:55:00,3025.58,3025.58,0.26664,stop,breakout,True,21,1,7.0,0.011729324625361248,False,False,False,False,0.1524384444210855,0.11420155557891448,2.855038889472862,248.8798471012691
