timestamp,direction,coins_in_basket,combined_r,closed_coin,closed_unrealized_r,real_early_close
2025-08-14 01:05:00,long,"['DOGE', 'ETH']",-0.495,DOGE,-0.271,True
2025-08-14 08:25:00,long,"['SOL', 'ETH']",-0.217,SOL,-0.161,True
