symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,dynamic_threshold_active,drift_stop_tightened,soft_trim_done,soft_tighten_done,used_real_cvd,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin,use_adverse_drift,dynamic_threshold_enabled,drift_stop_tighten_enabled,obv_confirmation_bonus,soft_exit_enabled
SOL,conservative,long,2025-08-14 02:40:00,2025-08-14 12:30:00,205.11,197.77514942785524,-1.0,stop,breakout,True,118,0,7.0,0.035760570289818994,False,False,False,False,False,0.038925553723518254,-1.0389255537235182,-25.973138843087956,-25.973138843087956,SOL,False,False,False,3.0,False
SOL,conservative,long,2025-09-03 13:40:00,2025-09-04 04:55:00,212.05,207.21257999999997,-1.0,stop,breakout,True,183,0,7.0,0.02281263852864908,False,False,False,False,False,0.0667174030785,-1.0667174030785,-26.6679350769625,-52.64107392005046,SOL,False,False,False,3.0,False
SOL,conservative,long,2025-09-09 22:55:00,2025-09-10 16:55:00,217.21,223.77,1.1044660205951913,max_hold_time,breakout,True,216,1,7.0,0.024032593169761692,False,False,False,False,False,0.0906269242197469,1.0138390963754444,25.345977409386112,-27.295096510664347,SOL,False,False,False,3.0,False
SOL,conservative,long,2025-09-11 22:10:00,2025-09-12 16:10:00,227.49,238.77,1.7294214021763143,max_hold_time,breakout,True,216,1,7.0,0.022599447090421658,False,False,False,False,False,0.09637403920926471,1.6330473629670497,40.82618407417624,13.531087563511893,SOL,False,False,False,3.0,False
SOL,conservative,long,2025-09-12 22:10:00,2025-09-13 16:10:00,241.9,238.84,-0.575401502004433,max_hold_time,breakout,True,216,0,7.0,0.02198439744777551,False,False,False,False,False,0.0722330463580971,-0.6476345483625301,-16.19086370906325,-2.6597761455513584,SOL,False,False,False,3.0,False
SOL,conservative,short,2025-09-17 16:10:00,2025-09-17 19:25:00,232.98,237.84193414562503,-1.0,stop,breakout,True,39,0,7.0,0.02086846143714071,False,False,False,False,False,0.059132294142383905,-1.059132294142384,-26.4783073535596,-29.13808349911096,SOL,False,False,False,3.0,False
SOL,conservative,short,2025-09-22 00:25:00,2025-09-22 18:25:00,234.75,220.45,2.9695490173762895,max_hold_time,breakout,True,216,1,7.0,0.015025518394289901,False,False,False,False,False,0.14495340146318667,2.8245956159131027,70.61489039782757,41.4768068987166,SOL,False,False,False,3.0,False
SOL,conservative,short,2025-09-25 00:25:00,2025-09-25 18:25:00,210.55,197.85,1.8127803412423218,max_hold_time,breakout,True,216,1,7.0,0.02600938112476236,False,False,False,False,False,0.0837390166860381,1.7290413245562837,43.22603311390709,84.7028400126237,SOL,False,False,False,3.0,False
SOL,conservative,short,2025-09-28 09:55:00,2025-09-28 17:05:00,200.7,204.37122247055072,-1.0,stop,breakout,True,86,0,7.0,0.01829209003762198,False,False,False,False,False,0.07259968638185446,-1.0725996863818545,-26.814992159546364,57.88784785307733,SOL,False,False,False,3.0,False
SOL,conservative,short,2025-10-16 04:55:00,2025-10-16 22:55:00,192.45,183.14,1.1292435701085037,max_hold_time,breakout,True,216,1,7.0,0.03738961294800669,False,False,False,False,False,0.05825147222114031,1.0709920978873635,26.774802447184086,84.66265030026142,SOL,False,False,False,3.0,False
SOL,conservative,long,2025-10-25 05:55:00,2025-10-25 10:00:00,194.47,192.25754999999998,-1.0,stop,breakout,True,49,0,7.0,0.011376819046639678,False,False,False,False,False,0.11022413161879274,-1.1102241316187929,-27.75560329046982,56.9070470097916,SOL,False,False,False,3.0,False
SOL,conservative,short,2025-11-02 00:55:00,2025-11-02 04:50:00,185.1,187.30712,-1.0,stop,breakout,True,47,0,7.0,0.011923933009184243,False,False,False,False,False,0.10483118271774966,-1.1048311827177497,-27.620779567943742,29.286267441847855,SOL,False,False,False,3.0,False
SOL,conservative,short,2025-11-09 02:40:00,2025-11-09 13:35:00,156.25,160.09306852448697,-1.0,stop,breakout,True,131,0,7.0,0.024595638556716586,False,False,False,False,False,0.05765249789023152,-1.0576524978902315,-26.44131244725579,2.844954994592065,SOL,False,False,False,3.0,False
SOL,conservative,short,2025-11-29 06:25:00,2025-11-30 00:25:00,136.71,136.04,0.23044990574139076,max_hold_time,breakout,True,216,0,7.0,0.02126659618041561,False,False,False,False,False,0.0746710938848967,0.15577881185649406,3.8944702964123517,6.739425291004417,SOL,False,False,False,3.0,False
SOL,conservative,short,2025-11-30 03:10:00,2025-11-30 13:15:00,135.65,138.02750279540774,-1.0,stop,breakout,True,121,0,7.0,0.01752674379216908,False,False,False,False,False,0.07976381788753162,-1.0797638178875317,-26.994095447188293,-20.254670156183877,SOL,False,False,False,3.0,False
SOL,conservative,short,2025-12-07 13:55:00,2025-12-07 15:55:00,131.73,131.73,0.26664,stop,breakout,True,24,1,7.0,0.015133910271008973,False,False,False,False,False,0.11854173626472775,0.14809826373527224,3.702456593381806,-16.55221356280207,SOL,False,False,False,3.0,False
SOL,conservative,short,2025-12-09 04:45:00,2025-12-09 15:40:00,132.42,136.14726425288308,-1.0,stop,breakout,True,131,0,7.0,0.028147290838869424,False,False,False,False,False,0.05037785014967913,-1.0503778501496792,-26.25944625374198,-42.81165981654405,SOL,False,False,False,3.0,False
SOL,conservative,long,2026-01-04 12:25:00,2026-01-05 06:25:00,134.76,135.03,0.3528399949127107,max_hold_time,breakout,True,216,1,7.0,0.015496227255573763,False,False,False,False,False,0.14055033938771166,0.212289655524999,5.307241388124975,-37.50441842841907,SOL,False,False,False,3.0,False
SOL,conservative,short,2026-01-29 12:40:00,2026-01-30 06:40:00,122.68,113.38,4.620851435553875,max_hold_time,breakout,True,216,1,7.0,0.011607270948809914,False,False,False,False,False,0.1876410061939072,4.433210429359968,110.8302607339992,73.32584230558012,SOL,False,False,False,3.0,False
SOL,conservative,short,2026-02-03 16:25:00,2026-02-03 20:30:00,100.36,100.36,0.26664,stop,breakout,True,49,1,7.0,0.03688383971434808,False,False,False,False,False,0.04999479485544643,0.21664520514455354,5.416130128613839,78.74197243419397,SOL,False,False,False,3.0,False
SOL,conservative,short,2026-02-22 23:25:00,2026-02-23 17:25:00,82.73,78.25,2.4366675773471735,max_hold_time,breakout,True,216,1,7.0,0.016637198251743892,False,False,False,False,False,0.13091146520248412,2.3057561121446892,57.64390280361723,136.3858752378112,SOL,False,False,False,3.0,False
SOL,conservative,short,2026-02-28 06:10:00,2026-02-28 14:35:00,81.22,81.22,0.26664,stop,breakout,True,101,1,7.0,0.013940778133464556,False,False,False,False,False,0.13973395038286027,0.12690604961713972,3.1726512404284932,139.55852647823968,SOL,False,False,False,3.0,False
SOL,conservative,short,2026-03-07 02:40:00,2026-03-07 20:40:00,84.47,83.01,0.9087549152318719,max_hold_time,breakout,True,216,1,7.0,0.017946016337161145,False,False,False,False,False,0.12136398179299411,0.7873909334388778,19.684773335971943,159.24329981421164,SOL,False,False,False,3.0,False
SOL,conservative,long,2026-03-12 23:15:00,2026-03-13 17:15:00,87.0,89.98,1.2776551034033565,max_hold_time,breakout,True,216,1,7.0,0.022587586206896538,False,False,False,False,False,0.09642464582315591,1.1812304575802006,29.530761439505014,188.77406125371664,SOL,False,False,False,3.0,False
SOL,conservative,long,2026-03-15 08:55:00,2026-03-16 02:55:00,88.5,91.48,1.7473605359423132,max_hold_time,breakout,True,216,1,7.0,0.015161087314188477,False,False,False,False,False,0.1436572427072379,1.6037032932350752,40.09258233087688,228.86664358459353,SOL,False,False,False,3.0,False
SOL,conservative,long,2026-03-17 22:10:00,2026-03-18 11:30:00,95.46,93.05685000000001,-1.0,stop,breakout,True,160,0,7.0,0.02517441860465098,False,False,False,False,False,0.05863094688221752,-1.0586309468822175,-26.465773672055438,202.4008699125381,SOL,False,False,False,3.0,False
SOL,conservative,short,2026-04-28 04:25:00,2026-04-28 22:25:00,83.91,83.68,0.18058528598249526,max_hold_time,breakout,True,216,0,7.0,0.015178601308764023,False,False,False,False,False,0.10462097051611069,0.07596431546638457,1.8991078866596143,204.2999777991977,SOL,False,False,False,3.0,False
SOL,conservative,long,2026-05-05 18:55:00,2026-05-06 12:55:00,85.87,89.66,2.308713229661336,max_hold_time,breakout,True,216,1,7.0,0.014409764732571445,False,False,False,False,False,0.1511475059045834,2.1575657237567527,53.939143093918815,258.23912089311654,SOL,False,False,False,3.0,False
SOL,conservative,long,2026-05-25 14:10:00,2026-05-26 00:20:00,86.12,84.73150580030877,-1.0,stop,breakout,True,122,0,7.0,0.016122784483177395,False,False,False,False,False,0.08683363605466338,-1.0868336360546633,-27.17084090136658,231.06827999174996,SOL,False,False,False,3.0,False
SOL,conservative,short,2026-05-28 13:40:00,2026-05-28 17:15:00,80.57,82.21389614054013,-1.0,stop,breakout,True,43,0,7.0,0.0204033280444351,False,False,False,False,False,0.06087242224871981,-1.0608724222487198,-26.521810556217996,204.54646943553198,SOL,False,False,False,3.0,False
SOL,conservative,long,2026-06-08 11:10:00,2026-06-09 05:10:00,66.47,67.05,0.25691575838930536,max_hold_time,breakout,True,216,0,7.0,0.033963432178956976,False,False,False,False,False,0.046756169742582475,0.21015958864672288,5.253989716168072,209.80045915170004,SOL,False,False,False,3.0,False
SOL,conservative,long,2026-06-13 12:10:00,2026-06-14 06:10:00,67.83,68.45,0.5940741384325241,max_hold_time,breakout,True,216,1,7.0,0.018611285459847287,False,False,False,False,False,0.11702576937519454,0.47704836905732956,11.926209226433238,221.72666837813327,SOL,False,False,False,3.0,False
