coin,strategy,days,total_trades,win_rate_pct_gross,avg_r_gross,total_r_gross,avg_bars_held,breakout_extension_trades,win_rate_pct_net,avg_r_net,total_r_net,avg_fee_interest_r_cost
SOL,ultra-short,365.0,658,52.9,0.075,49.43,108.5,59.0,42.1,-0.065,-42.82,0.14
SOL,aggressive,365.0,506,54.5,0.093,46.84,138.4,32.0,50.0,-0.035,-17.46,0.127
SOL,balanced,365.0,259,56.0,0.096,24.86,227.6,33.0,55.2,-0.01,-2.72,0.106
SOL,conservative,,0,,,,,,,,,
SOL,swing-trend,365.0,244,53.3,0.039,9.47,250.5,13.0,53.3,-0.051,-12.44,0.09
