symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,dynamic_threshold_active,drift_stop_tightened,soft_trim_done,soft_tighten_done,used_real_cvd,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin,use_adverse_drift,dynamic_threshold_enabled,drift_stop_tighten_enabled,obv_confirmation_bonus,soft_exit_enabled
ETH,conservative,long,2025-08-07 09:25:00,2025-08-09 21:25:00,3724.99,4269.11,5.520989829592838,max_hold_time,breakout,True,720,1,7.0,0.018534507439208932,False,False,False,False,False,0.17189558505666883,5.349094244536169,133.72735611340423,133.72735611340423,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-08-10 19:25:00,2025-08-11 10:45:00,4242.77,4242.77,0.26664,stop,breakout,True,184,1,7.0,0.02212070651956175,False,False,False,False,False,0.09556656782777488,0.1710734321722251,4.276835804305628,138.00419191770985,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-08-13 18:10:00,2025-08-14 12:30:00,4742.68,4610.231141280513,-1.0,stop,breakout,True,220,0,7.0,0.02792700724474081,False,False,False,False,False,0.05714898077023836,-1.0571489807702383,-26.428724519255958,111.5754673984539,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-08-31 09:10:00,2025-08-31 23:30:00,4472.18,4393.890102289945,-1.0,stop,breakout,True,172,0,7.0,0.017505980910887956,False,False,False,False,False,0.08568500146524582,-1.085685001465246,-27.14212503663115,84.43334236182275,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-09-03 17:25:00,2025-09-04 05:20:00,4480.0,4371.64,-1.0443420891823987,reversal,breakout,True,143,0,7.0,0.023160514404754095,False,False,False,False,False,0.06226113871218701,-1.1066032278945857,-27.66508069736464,56.76826166445811,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-09-04 18:25:00,2025-09-05 07:25:00,4280.6,4373.4511003104,-1.0,stop,breakout,True,156,0,7.0,0.021691141501284743,False,False,False,False,False,0.06767739724131401,-1.067677397241314,-26.69193493103285,30.076326733425258,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-09-10 08:55:00,2025-09-10 18:45:00,4332.41,4332.41,0.26664,stop,breakout,True,118,1,7.0,0.01314923368188206,False,False,False,False,False,0.1507312173431779,0.11590878265682208,2.897719566420552,32.97404629984581,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-09-12 13:55:00,2025-09-15 01:55:00,4539.64,4618.15,1.205548305496941,max_hold_time,breakout,True,720,1,7.0,0.01228035262708056,False,False,False,False,False,0.25943880414103515,0.9461095013559058,23.652737533897643,56.62678383374345,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-09-16 11:05:00,2025-09-16 17:15:00,4496.01,4496.01,0.26664,stop,breakout,True,74,1,7.0,0.010404391894146006,False,False,False,False,False,0.18203851020506565,0.08460148979493434,2.1150372448733585,58.74182107861681,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-09-17 14:25:00,2025-09-17 22:25:00,4474.32,4549.809745616787,-1.0,stop,breakout,True,96,0,7.0,0.016871780654219487,False,False,False,False,False,0.07989672386256852,-1.0798967238625685,-26.997418096564214,31.744402982052595,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-09-19 11:55:00,2025-09-21 23:55:00,4513.8,4444.97,0.9462164827661766,max_hold_time,breakout,True,720,1,7.0,0.014959861441119026,False,False,False,False,False,0.21296988695649852,0.7332465958096781,18.33116489524195,50.075567877294546,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-09-23 02:25:00,2025-09-24 05:35:00,4159.01,4159.01,0.26664,stop,breakout,True,326,1,7.0,0.015520361816874585,False,False,False,False,False,0.15450670727229848,0.1121332927277015,2.803332318192538,52.878900195487084,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-09-26 07:40:00,2025-09-26 17:35:00,3908.91,4026.8928699999997,-1.0,stop,breakout,True,119,0,7.0,0.030183061262602572,False,False,False,False,False,0.04618484479992738,-1.0461848447999273,-26.154621119998183,26.7242790754889,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-09-28 00:25:00,2025-09-28 12:40:00,4029.45,3975.0734155027667,-1.0,stop,breakout,True,147,0,7.0,0.0134947907275765,False,False,False,False,False,0.10744886892072629,-1.1074488689207262,-27.686221723018157,-0.9619426475292556,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-10-02 15:55:00,2025-10-03 08:15:00,4437.09,4437.09,0.26664,stop,breakout,True,196,1,7.0,0.018748382385752802,False,False,False,False,False,0.11403650491066902,0.15260349508933096,3.815087377233274,2.8531447297040184,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-10-03 10:55:00,2025-10-03 17:00:00,4489.56,4489.56,0.26664,stop,breakout,True,73,1,7.0,0.0146980995910513,False,False,False,False,False,0.1287241243862515,0.1379158756137485,3.447896890343712,6.30104162004773,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-10-06 06:10:00,2025-10-07 14:55:00,4548.07,4592.84,0.6675696078539306,reversal,breakout,True,393,1,7.0,0.016369004946353263,False,False,False,False,False,0.15468258506233068,0.5128870227915999,12.822175569789998,19.123217189837728,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-10-10 05:10:00,2025-10-12 04:30:00,4334.38,3810.65,4.4336661723545765,reversal,breakout,True,568,1,7.0,0.019332352031893943,False,False,False,False,False,0.149076532190463,4.284589640164113,107.11474100410283,126.23795819394056,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-10-25 06:10:00,2025-10-27 18:10:00,3934.38,4230.82,3.2129216396890428,max_hold_time,breakout,True,720,1,7.0,0.017049698229874385,False,False,False,False,False,0.18686547744390625,3.0260561622451365,75.65140405612841,201.88936225006898,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-10-29 10:55:00,2025-10-31 00:25:00,3989.07,3809.21,1.7748220405245863,reversal,breakout,True,450,1,7.0,0.019931483386271653,False,False,False,False,False,0.13275479545202862,1.6420672450725577,41.051681126813946,242.94104337688293,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-11-09 11:55:00,2025-11-10 15:10:00,3428.37,3530.94,1.2508483113327458,reversal,breakout,True,327,1,7.0,0.020266376022789107,False,False,False,False,False,0.1184227509299764,1.1324255604027693,28.310639010069234,271.25168238695215,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-11-20 15:55:00,2025-11-21 17:25:00,2955.68,2794.46,1.3326616557093929,reversal,breakout,True,306,1,7.0,0.0341134726694806,False,False,False,False,False,0.06912225040371131,1.2635394053056817,31.58848513264204,302.8401675195942,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-11-22 04:10:00,2025-11-22 23:00:00,2735.29,2790.24,-0.7390039705829288,reversal,breakout,True,226,0,7.0,0.0271842619978139,False,False,False,False,False,0.05915187251098859,-0.7981558430939174,-19.953896077347935,282.8862714422463,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-11-27 19:40:00,2025-11-28 16:25:00,3035.88,3035.88,0.26664,stop,breakout,True,249,1,7.0,0.017486125933831337,False,False,False,False,False,0.1283303121852974,0.1383096878147026,3.457742195367565,286.3440136376139,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-12-07 14:10:00,2025-12-07 15:55:00,3025.58,3025.58,0.26664,stop,breakout,True,21,1,7.0,0.011729324625361248,False,False,False,False,False,0.1524384444210855,0.11420155557891448,2.855038889472862,289.19905252708674,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-12-11 14:25:00,2025-12-11 21:15:00,3186.01,3252.27,-0.8694954226317722,reversal,breakout,True,82,0,7.0,0.02391866834236245,False,False,False,False,False,0.05518701882170182,-0.924682441453474,-23.11706103633685,266.0819914907499,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-12-20 03:25:00,2025-12-22 15:25:00,2990.23,3042.2,0.8759358219543045,max_hold_time,breakout,True,720,1,7.0,0.019017366557087474,False,False,False,False,False,0.1675310822051031,0.7084047397492015,17.710118493730036,283.7921099844799,ETH,False,False,False,0.0,False
ETH,conservative,short,2026-01-09 14:40:00,2026-01-09 15:25:00,3072.73,3129.060785334111,-1.0,stop,breakout,True,9,0,7.0,0.01833248783137834,False,False,False,False,False,0.06436660484128526,-1.0643666048412852,-26.60916512103213,257.1829448634478,ETH,False,False,False,0.0,False
ETH,conservative,long,2026-01-27 02:55:00,2026-01-29 02:40:00,2945.25,2966.09,0.47409575250773384,reversal,breakout,True,573,1,7.0,0.02273947969286797,False,False,False,False,False,0.127179690963072,0.3469160615446618,8.672901538616545,265.85584640206434,ETH,False,False,False,0.0,False
