coin,strategy,days,total_trades,win_rate_pct_gross,avg_r_gross,total_r_gross,avg_bars_held,breakout_extension_trades,win_rate_pct_net,avg_r_net,total_r_net,avg_fee_interest_r_cost
ETH,ultra-short,365,875,47.5,0.051,44.42,97.5,54,33.9,-0.098,-85.47,0.148
ETH,aggressive,365,568,53.0,0.14,79.69,137.5,47,43.3,-0.003,-1.95,0.144
ETH,balanced,365,286,51.7,0.07,19.96,219.1,37,47.6,-0.054,-15.48,0.124
ETH,conservative,365,80,55.0,0.171,13.72,262.8,80,55.0,0.053,4.2,0.119
ETH,swing-trend,365,243,52.3,0.052,12.67,257.8,13,51.4,-0.048,-11.69,0.1
