coin,strategy,days,total_trades,win_rate_pct_gross,avg_r_gross,total_r_gross,avg_bars_held,breakout_extension_trades,win_rate_pct_net,avg_r_net,total_r_net,avg_fee_interest_r_cost
BTC,ultra-short,30,59,45.8,-0.267,-15.74,123.4,16,23.7,-0.51,-30.07,0.243
BTC,aggressive,30,43,46.5,-0.207,-8.92,146.9,12,27.9,-0.416,-17.87,0.208
BTC,balanced,30,31,45.2,-0.234,-7.24,159.6,6,38.7,-0.394,-12.2,0.16
BTC,conservative,30,10,50.0,-0.029,-0.29,301.7,10,50.0,-0.19,-1.9,0.161
BTC,swing-trend,30,14,85.7,0.423,5.92,307.1,3,85.7,0.259,3.63,0.164
