symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin,use_adverse_drift
ETH,conservative,long,2025-08-07 09:25:00,2025-08-08 08:40:00,3724.99,3891.25,1.8715954272650515,reversal,breakout,True,279,1,7.0,0.01854087151767498,0.1242660032352633,1.747329424029788,43.6832356007447,43.6832356007447,ETH,True
ETH,conservative,long,2025-08-09 03:10:00,2025-08-10 02:50:00,4041.73,4249.01,1.918306985452898,reversal,breakout,True,284,1,7.0,0.020701321454954465,0.11178030373738236,1.8065266817155157,45.16316704288789,88.84640264363259,ETH,True
ETH,conservative,long,2025-08-10 19:25:00,2025-08-10 20:25:00,4242.77,4213.98,-0.3067560816071393,reversal,breakout,True,12,0,7.0,0.02212070651956175,0.05334368497482231,-0.36009976658196163,-9.002494164549041,79.84390847908355,ETH,True
ETH,conservative,long,2025-08-13 18:10:00,2025-08-14 07:10:00,4742.68,4733.05,-0.07270724545711554,reversal,breakout,True,156,0,7.0,0.027927031368613724,0.052565558459243794,-0.12527280391635934,-3.1318200979089834,76.71208838117457,ETH,True
ETH,conservative,long,2025-08-31 09:10:00,2025-08-31 19:10:00,4472.18,4474.64,0.031421678555649646,reversal,breakout,True,120,0,7.0,0.017505980910887956,0.07974417469698879,-0.04832249614133914,-1.2080624035334786,75.50402597764109,ETH,True
ETH,conservative,long,2025-09-03 17:25:00,2025-09-04 02:25:00,4480.0,4441.03,-0.37558149885048414,reversal,breakout,True,108,0,7.0,0.023160514404754095,0.059238753337809,-0.4348202521882931,-10.870506304707328,64.63351967293376,ETH,True
ETH,conservative,short,2025-09-04 18:25:00,2025-09-04 23:40:00,4280.6,4317.4,-0.3963334831464308,reversal,breakout,True,63,0,7.0,0.021691141501284743,0.05910246816305488,-0.45543595130948566,-11.385898782737142,53.247620890196615,ETH,True
ETH,conservative,long,2025-09-10 08:55:00,2025-09-10 17:25:00,4332.41,4348.74,0.4577514934393955,reversal,breakout,True,102,1,7.0,0.01314922885127828,0.14829766992841062,0.3094538235109848,7.736345587774621,60.98396647797124,ETH,True
ETH,conservative,long,2025-09-12 13:55:00,2025-09-13 15:40:00,4539.64,4655.67,1.6542534337894634,reversal,breakout,True,309,1,7.0,0.01228035262708056,0.192502615502011,1.4617508182874523,36.54377045718631,97.52773693515755,ETH,True
ETH,conservative,short,2025-09-16 11:05:00,2025-09-16 17:10:00,4496.01,4491.01,0.3379017509205676,reversal,breakout,True,73,1,7.0,0.010404391894146006,0.1818462836895376,0.15605546723103003,3.901386680775751,101.42912361593329,ETH,True
ETH,conservative,short,2025-09-17 14:25:00,2025-09-17 17:40:00,4474.32,4510.21,-0.4754288124063024,reversal,breakout,True,39,0,7.0,0.016871780603710976,0.07313987948187162,-0.548568691888174,-13.714217297204351,87.71490631872894,ETH,True
ETH,conservative,short,2025-09-19 11:55:00,2025-09-20 06:10:00,4513.8,4471.3,0.6862535481267258,reversal,breakout,True,219,1,7.0,0.014959861441119026,0.145990656972063,0.5402628911546627,13.50657227886657,101.2214785975955,ETH,True
ETH,conservative,short,2025-09-23 02:25:00,2025-09-23 16:25:00,4159.01,4188.86,-0.4624369513305582,reversal,breakout,True,168,0,7.0,0.015520361816874585,0.09613177950386545,-0.5585687308344236,-13.96421827086059,87.25726032673492,ETH,True
ETH,conservative,short,2025-09-26 07:40:00,2025-09-26 12:40:00,3908.91,3949.11,-0.34072742932936223,reversal,breakout,True,60,0,7.0,0.030183061262602572,0.04227536726306122,-0.3830027965924234,-9.575069914810586,77.68219041192434,ETH,True
ETH,conservative,long,2025-09-28 00:25:00,2025-09-28 07:10:00,4029.45,4007.55,-0.40274688457334035,reversal,breakout,True,81,0,7.0,0.0134947907275765,0.09766731671552914,-0.5004142012888695,-12.510355032221737,65.1718353797026,ETH,True
ETH,conservative,short,2025-09-28 11:40:00,2025-09-28 16:05:00,3987.62,4034.4629875464975,-1.0,stop,breakout,True,53,0,7.0,0.01174710417404307,0.1074307319746574,-1.1074307319746575,-27.685768299366437,37.48606708033616,ETH,True
ETH,conservative,long,2025-10-02 15:55:00,2025-10-03 08:15:00,4437.09,4437.09,0.26664,stop,breakout,True,196,1,7.0,0.018748382385752802,0.11403650491066902,0.15260349508933096,3.815087377233274,41.30115445756944,ETH,True
ETH,conservative,long,2025-10-03 10:55:00,2025-10-03 13:10:00,4489.56,4467.0,-0.3418803418803465,reversal,breakout,True,27,0,7.0,0.0146980995910513,0.08232356792143992,-0.4242039098017864,-10.60509774504466,30.69605671252478,ETH,True
ETH,conservative,long,2025-10-03 15:40:00,2025-10-03 17:00:00,4501.37,4501.37,0.26664,stop,breakout,True,16,1,7.0,0.01728318267549652,0.10287457081158928,0.1637654291884107,4.094135729710267,34.790192442235046,ETH,True
ETH,conservative,long,2025-10-06 06:10:00,2025-10-07 04:10:00,4548.07,4682.81,1.4732796105034256,reversal,breakout,True,264,1,7.0,0.016369004946353263,0.13892108942801737,1.3343585210754083,33.358963026885206,68.14915546912025,ETH,True
ETH,conservative,long,2025-10-07 04:45:00,2025-10-07 06:25:00,4713.98,4677.55,-0.6631629285551589,reversal,breakout,True,20,0,7.0,0.011653360854309807,0.10263133656911334,-0.7657942651242723,-19.144856628106808,49.00429884101344,ETH,True
ETH,conservative,long,2025-10-07 12:40:00,2025-10-07 13:40:00,4706.71,4687.86,-0.26025515774638486,reversal,breakout,True,12,0,7.0,0.015388439058280686,0.07668094181164069,-0.33693609955802556,-8.42340248895064,40.580896352062794,ETH,True
ETH,conservative,short,2025-10-10 05:10:00,2025-10-10 05:55:00,4334.38,4368.34,-0.4052807750839662,reversal,breakout,True,9,0,7.0,0.019332352031893943,0.061037580841341546,-0.46631835592530774,-11.657958898132694,28.9229374539301,ETH,True
ETH,conservative,short,2025-10-10 06:55:00,2025-10-10 13:35:00,4328.0,4386.5,-0.8354322676502242,reversal,breakout,True,80,0,7.0,0.0161792121072088,0.08133894229705067,-0.9167712099472748,-22.91928024868187,6.003657205248231,ETH,True
ETH,conservative,long,2025-10-25 06:10:00,2025-10-25 06:55:00,3934.38,3928.74,-0.0840787777754794,reversal,breakout,True,9,0,7.0,0.017049686992965146,0.06920948170408517,-0.15328825947956456,-3.832206486989114,2.171450718259117,ETH,True
ETH,conservative,short,2025-10-29 10:55:00,2025-10-29 17:40:00,3989.07,4004.29,-0.19141214914587276,reversal,breakout,True,81,0,7.0,0.01993303804181468,0.06612138085700511,-0.2575335300028779,-6.438338250071947,-4.26688753181283,ETH,True
ETH,conservative,short,2025-10-30 17:10:00,2025-10-30 21:45:00,3758.65,3766.71,-0.07051694326843534,reversal,breakout,True,55,0,7.0,0.030409527810617502,0.041631688853714315,-0.11214863212214965,-2.8037158030537412,-7.070603334866571,ETH,True
ETH,conservative,long,2025-11-09 11:55:00,2025-11-10 09:25:00,3428.37,3606.46,1.9754989077239793,reversal,breakout,True,258,1,7.0,0.020266376022789107,0.11161344275150276,1.8638854649724765,46.597136624311915,39.52653328944535,ETH,True
ETH,conservative,short,2025-11-20 15:55:00,2025-11-20 21:30:00,2955.68,2875.76,0.7950883979921497,reversal,breakout,True,67,1,7.0,0.0341134726694806,0.05511019116156796,0.7399782068305817,18.49945517076454,58.02598846020989,ETH,True
ETH,conservative,short,2025-11-22 04:10:00,2025-11-22 06:40:00,2735.29,2762.62,-0.36755192931813385,reversal,breakout,True,30,0,7.0,0.0271842619978139,0.044731764286916754,-0.4122836936050506,-10.307092340126266,47.71889612008362,ETH,True
ETH,conservative,long,2025-11-27 19:40:00,2025-11-27 22:40:00,3035.88,3012.4,-0.4423030046841182,reversal,breakout,True,36,0,7.0,0.017486125933831337,0.07022710488571532,-0.5125301095698336,-12.81325273924584,34.90564338083778,ETH,True
ETH,conservative,short,2025-12-07 14:10:00,2025-12-07 15:55:00,3025.58,3025.58,0.26664,stop,breakout,True,21,1,7.0,0.011729324625361248,0.1524384444210855,0.11420155557891448,2.855038889472862,37.76068227031064,ETH,True
ETH,conservative,short,2025-12-11 14:25:00,2025-12-11 18:40:00,3186.01,3231.86,-0.6016656373025479,reversal,breakout,True,51,0,7.0,0.02391866834236245,0.052594901270985525,-0.6542605385735334,-16.356513464338335,21.404168805972304,ETH,True
ETH,conservative,long,2025-12-20 03:25:00,2025-12-20 04:10:00,2990.23,2981.58,-0.15211118008381308,reversal,breakout,True,9,0,7.0,0.019017366557087474,0.062048548964853,-0.2141597290486661,-5.3539932262166525,16.050175579755653,ETH,True
ETH,conservative,short,2026-01-09 14:40:00,2026-01-09 15:25:00,3072.73,3130.0,-1.0166730437888318,reversal,breakout,True,9,0,7.0,0.018332490717250377,0.06436659470879491,-1.0810396384976269,-27.025990962440673,-10.97581538268502,ETH,True
ETH,conservative,long,2026-01-27 02:55:00,2026-01-27 06:40:00,2945.25,2924.85,-0.3045983030376619,reversal,breakout,True,45,0,7.0,0.02273947969286797,0.05479456948132356,-0.35939287251898544,-8.984821812974635,-19.960637195659658,ETH,True
ETH,conservative,short,2026-01-29 11:55:00,2026-01-30 11:55:00,2929.29,2759.88,2.3601160469204157,reversal,breakout,True,288,1,7.0,0.01841785851496858,0.12607328903698886,2.2340427578834268,55.85106894708567,35.890431751426014,ETH,True
ETH,conservative,short,2026-02-24 01:10:00,2026-02-24 14:40:00,1845.7,1827.84,0.5299184351256754,reversal,breakout,True,162,1,7.0,0.024503916817831123,0.08447629068401395,0.4454421444416614,11.136053611041536,47.026485362467554,ETH,True
ETH,conservative,long,2026-03-12 14:10:00,2026-03-12 14:40:00,2080.21,2045.63,-0.7303833524627782,reversal,breakout,True,6,0,7.0,0.022759721491209067,0.05184597713358551,-0.7822293295963637,-19.55573323990909,27.470752122558462,ETH,True
ETH,conservative,long,2026-03-15 08:55:00,2026-03-15 12:40:00,2112.93,2109.5,-0.12149350997465852,reversal,breakout,True,45,0,7.0,0.013361522013968034,0.0932528493907686,-0.21474635936542713,-5.368658984135679,22.102093138422784,ETH,True
ETH,conservative,long,2026-03-18 03:25:00,2026-03-18 11:25:00,2339.8,2295.16,-1.1715305479739664,reversal,breakout,True,96,0,7.0,0.01628515257714346,0.08277478479949554,-1.254305332773462,-31.357633319336546,-9.255540180913762,ETH,True
ETH,conservative,short,2026-03-20 13:55:00,2026-03-20 21:25:00,2127.39,2151.93,-0.4753341478967102,reversal,breakout,True,90,0,7.0,0.02426768951626188,0.05505262456505144,-0.5303867724617616,-13.25966931154404,-22.5152094924578,ETH,True
ETH,conservative,long,2026-03-25 00:40:00,2026-03-25 12:25:00,2165.13,2171.94,0.12711441359287703,reversal,breakout,True,141,0,7.0,0.024743910490988317,0.058115308836237375,0.06899910475663966,1.7249776189159916,-20.790231873541806,ETH,True
ETH,conservative,short,2026-04-02 13:40:00,2026-04-02 14:35:00,2020.33,2060.42,-0.8614175126105057,reversal,breakout,True,11,0,7.0,0.02303562748249509,0.05122499922768282,-0.9126425118381886,-22.816062795954714,-43.60629466949652,ETH,True
ETH,conservative,short,2026-04-03 00:40:00,2026-04-03 01:25:00,2053.41,2059.27,-0.2227489809044114,reversal,breakout,True,9,0,7.0,0.012811683979331938,0.09210342698927006,-0.31485240789368146,-7.871310197342036,-51.477604866838554,ETH,True
ETH,conservative,short,2026-04-03 01:40:00,2026-04-04 04:25:00,2048.27,2050.78,-0.07981521029877692,reversal,breakout,True,321,0,7.0,0.015353268856156593,0.1171086116478062,-0.19692382194658312,-4.923095548664578,-56.40070041550313,ETH,True
ETH,conservative,short,2026-04-13 07:25:00,2026-04-13 12:55:00,2184.44,2192.25,-0.2239776506787059,reversal,breakout,True,66,0,7.0,0.015962695470961113,0.08068812703613205,-0.30466577771483794,-7.616644442870949,-64.01734485837407,ETH,True
ETH,conservative,long,2026-04-14 13:55:00,2026-04-14 14:40:00,2391.5,2371.35,-0.5154143419731984,reversal,breakout,True,9,0,7.0,0.01634738030524773,0.07218281938551366,-0.587597161358712,-14.6899290339678,-78.70727389234187,ETH,True
ETH,conservative,long,2026-04-15 15:10:00,2026-04-16 01:10:00,2347.42,2350.42,0.07276519883090551,reversal,breakout,True,120,0,7.0,0.017563324841741217,0.07948381144111444,-0.006718612610208924,-0.1679653152552231,-78.87523920759709,ETH,True
ETH,conservative,short,2026-04-19 01:25:00,2026-04-20 06:40:00,2344.35,2284.72,1.4653480711855882,reversal,breakout,True,351,1,7.0,0.014146838142768813,0.1730422003344472,1.292305870851141,32.30764677127853,-46.56759243631856,ETH,True
ETH,conservative,long,2026-04-22 21:40:00,2026-04-22 22:25:00,2406.05,2397.05,-0.35387095505838884,reversal,breakout,True,9,0,7.0,0.010570437023337001,0.11163209216372434,-0.46550304722211316,-11.637576180552829,-58.20516861687139,ETH,True
ETH,conservative,long,2026-05-02 09:25:00,2026-05-03 01:35:00,2305.7,2305.7,0.26664,stop,breakout,True,194,1,7.0,0.01107133719571689,0.1927499779182563,0.0738900220817437,1.8472505520435925,-56.3579180648278,ETH,True
ETH,conservative,short,2026-05-12 06:40:00,2026-05-13 00:25:00,2306.61,2283.28,0.7454445674831949,reversal,breakout,True,213,1,7.0,0.014083569417885557,0.15422226678143464,0.5912223007017603,14.780557517544008,-41.57736054728379,ETH,True
ETH,conservative,short,2026-05-14 11:40:00,2026-05-14 12:40:00,2254.15,2259.66,-0.23622519849775428,reversal,breakout,True,12,0,7.0,0.010347669853381437,0.11403533517397607,-0.3502605336717304,-8.756513341793259,-50.33387388907705,ETH,True
ETH,conservative,short,2026-05-15 12:10:00,2026-05-16 04:55:00,2251.85,2225.98,0.7302966011192937,reversal,breakout,True,201,1,7.0,0.016519274832448878,0.13002992091279184,0.6002666802065019,15.006667005162546,-35.3272068839145,ETH,True
ETH,conservative,short,2026-06-10 05:10:00,2026-06-10 12:40:00,1622.48,1639.42,-0.42351410470130235,reversal,breakout,True,90,0,7.0,0.02465279562224195,0.054192636829984916,-0.4777067415312873,-11.942668538282183,-47.269875422196684,ETH,True
ETH,conservative,long,2026-06-11 11:10:00,2026-06-11 12:25:00,1662.43,1648.58,-0.37404398095908087,reversal,breakout,True,15,0,7.0,0.02227325736600108,0.053247712290630855,-0.4272916932497117,-10.682292331242794,-57.952167753439475,ETH,True
ETH,conservative,short,2026-06-19 12:40:00,2026-06-19 12:55:00,1686.5,1695.36,-0.2771591777916912,reversal,breakout,True,3,0,7.0,0.018954752238994243,0.06225351748847823,-0.33941269528016943,-8.485317382004236,-66.43748513544371,ETH,True
ETH,conservative,long,2026-06-20 21:40:00,2026-06-21 04:55:00,1736.35,1732.85,-0.1300487621260652,reversal,breakout,True,87,0,7.0,0.01549974489269825,0.08580786388468546,-0.21585662601075067,-5.396415650268767,-71.83390078571247,ETH,True
ETH,conservative,short,2026-07-09 02:40:00,2026-07-09 04:40:00,1726.71,1740.17,-0.40206415910371274,reversal,breakout,True,24,0,7.0,0.019387878743121954,0.062100656598501336,-0.4641648157022141,-11.604120392555352,-83.43802117826783,ETH,True
ETH,conservative,long,2026-07-10 05:55:00,2026-07-10 20:55:00,1779.04,1790.14,0.5220113675479413,reversal,breakout,True,180,1,7.0,0.01628904108986583,0.12928937856938927,0.39272198897855204,9.818049724463801,-73.61997145380403,ETH,True
ETH,conservative,long,2026-07-11 04:40:00,2026-07-11 22:25:00,1797.76,1813.84,0.7035886855512499,reversal,breakout,True,213,1,7.0,0.013647539159843406,0.15914957081719938,0.5444391147340505,13.610977868351263,-60.008993585452764,ETH,True
ETH,conservative,long,2026-07-12 14:40:00,2026-07-12 21:25:00,1809.59,1815.09,0.239590640300345,reversal,breakout,True,81,0,7.0,0.012685647918964026,0.10389693994499846,0.13569370035534653,3.3923425088836634,-56.6166510765691,ETH,True
ETH,conservative,long,2026-07-15 05:55:00,2026-07-15 07:25:00,1882.68,1866.17,-0.6884743308746691,reversal,breakout,True,18,0,7.0,0.012737459366435186,0.09358224161570797,-0.7820565724903771,-19.55141431225943,-76.16806538882852,ETH,True
ETH,conservative,short,2026-07-24 11:40:00,2026-07-25 01:40:00,1878.9,1861.61,0.6576409789217721,reversal,breakout,True,168,1,7.0,0.015690758468828475,0.1326895703694717,0.5249514085523004,13.12378521380751,-63.044280175021015,ETH,True
ETH,conservative,short,2026-07-28 11:25:00,2026-07-28 12:55:00,1874.61,1892.48,-0.5592905585945999,reversal,breakout,True,18,0,7.0,0.017044180902513067,0.06993589230352786,-0.6292264508981277,-15.730661272453192,-78.7749414474742,ETH,True
