timestamp,direction,coins_in_basket,combined_r,closed_coin,closed_unrealized_r,real_early_close
2025-08-14 01:20:00,long,"['DOGE', 'ETH']",-0.241,ETH,-0.134,True
2025-09-28 14:30:00,short,"['SOL', 'DOGE']",-0.526,DOGE,-0.379,True
