symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin,use_adverse_drift
ETH,conservative,long,2025-08-07 09:25:00,2025-08-09 21:25:00,3724.99,4269.11,5.519186295461677,max_hold_time,breakout,True,720,1,7.0,0.01854087151767498,0.1718365825987625,5.347349712862914,133.68374282157285,133.68374282157285,ETH,False
ETH,conservative,long,2025-08-10 19:25:00,2025-08-10 22:25:00,4242.77,4226.34,-0.17506086907972335,reversal,breakout,True,36,0,7.0,0.02212070651956175,0.05551359758396762,-0.23057446666369097,-5.764361666592274,127.91938115498057,ETH,False
ETH,conservative,long,2025-08-13 18:10:00,2025-08-14 07:10:00,4742.68,4733.05,-0.07270724545711554,reversal,breakout,True,156,0,7.0,0.027927031368613724,0.052565558459243794,-0.12527280391635934,-3.1318200979089834,124.78756105707158,ETH,False
ETH,conservative,long,2025-08-31 09:10:00,2025-08-31 19:10:00,4472.18,4474.64,0.031421678555649646,reversal,breakout,True,120,0,7.0,0.017505980910887956,0.07974417469698879,-0.04832249614133914,-1.2080624035334786,123.57949865353811,ETH,False
ETH,conservative,long,2025-09-03 17:25:00,2025-09-04 02:55:00,4480.0,4421.06,-0.5680465368808633,reversal,breakout,True,114,0,7.0,0.023160514404754095,0.05975687654484523,-0.6278034134257084,-15.69508533564271,107.8844133178954,ETH,False
ETH,conservative,short,2025-09-04 18:25:00,2025-09-04 23:40:00,4280.6,4317.4,-0.3963334831464308,reversal,breakout,True,63,0,7.0,0.021691141501284743,0.05910246816305488,-0.45543595130948566,-11.385898782737142,96.49851453515825,ETH,False
ETH,conservative,long,2025-09-10 08:55:00,2025-09-10 18:25:00,4332.41,4336.46,0.314037522867703,reversal,breakout,True,114,1,7.0,0.01314922885127828,0.1501228720198372,0.16391465084786577,4.0978662711966445,100.5963808063549,ETH,False
ETH,conservative,long,2025-09-12 13:55:00,2025-09-13 15:40:00,4539.64,4655.67,1.6542534337894634,reversal,breakout,True,309,1,7.0,0.01228035262708056,0.192502615502011,1.4617508182874523,36.54377045718631,137.1401512635412,ETH,False
ETH,conservative,short,2025-09-16 11:05:00,2025-09-16 17:15:00,4496.01,4496.01,0.26664,stop,breakout,True,74,1,7.0,0.010404391894146006,0.18203851020506565,0.08460148979493434,2.1150372448733585,139.25518850841456,ETH,False
ETH,conservative,short,2025-09-17 14:25:00,2025-09-17 18:25:00,4474.32,4497.75,-0.3103732815458262,reversal,breakout,True,48,0,7.0,0.016871780603710976,0.07420674968501074,-0.38458003123083695,-9.614500780770923,129.64068772764364,ETH,False
ETH,conservative,short,2025-09-19 11:55:00,2025-09-20 06:10:00,4513.8,4471.3,0.6862535481267258,reversal,breakout,True,219,1,7.0,0.014959861441119026,0.145990656972063,0.5402628911546627,13.50657227886657,143.1472600065102,ETH,False
ETH,conservative,short,2025-09-23 02:25:00,2025-09-23 16:25:00,4159.01,4188.86,-0.4624369513305582,reversal,breakout,True,168,0,7.0,0.015520361816874585,0.09613177950386545,-0.5585687308344236,-13.96421827086059,129.18304173564962,ETH,False
ETH,conservative,short,2025-09-26 07:40:00,2025-09-26 13:05:00,3908.91,3935.46,-0.22503266787797435,reversal,breakout,True,65,0,7.0,0.030183061262602572,0.04260667891872784,-0.2676393467967022,-6.690983669917555,122.49205806573207,ETH,False
ETH,conservative,long,2025-09-28 00:25:00,2025-09-28 07:10:00,4029.45,4007.55,-0.40274688457334035,reversal,breakout,True,81,0,7.0,0.0134947907275765,0.09766731671552914,-0.5004142012888695,-12.510355032221737,109.98170303351033,ETH,False
ETH,conservative,short,2025-09-28 11:40:00,2025-09-28 16:05:00,3987.62,4034.4629875464975,-1.0,stop,breakout,True,53,0,7.0,0.01174710417404307,0.1074307319746574,-1.1074307319746575,-27.685768299366437,82.29593473414388,ETH,False
ETH,conservative,long,2025-10-02 15:55:00,2025-10-03 08:15:00,4437.09,4437.09,0.26664,stop,breakout,True,196,1,7.0,0.018748382385752802,0.11403650491066902,0.15260349508933096,3.815087377233274,86.11102211137715,ETH,False
ETH,conservative,long,2025-10-03 10:55:00,2025-10-03 13:40:00,4489.56,4471.45,-0.27444383827363317,reversal,breakout,True,33,0,7.0,0.0146980995910513,0.08313999999999966,-0.3575838382736328,-8.93959595684082,77.17142615453633,ETH,False
ETH,conservative,long,2025-10-03 15:40:00,2025-10-03 17:00:00,4501.37,4501.37,0.26664,stop,breakout,True,16,1,7.0,0.01728318267549652,0.10287457081158928,0.1637654291884107,4.094135729710267,81.26556188424661,ETH,False
ETH,conservative,long,2025-10-06 06:10:00,2025-10-07 04:10:00,4548.07,4682.81,1.4732796105034256,reversal,breakout,True,264,1,7.0,0.016369004946353263,0.13892108942801737,1.3343585210754083,33.358963026885206,114.62452491113181,ETH,False
ETH,conservative,long,2025-10-07 04:45:00,2025-10-07 08:10:00,4713.98,4659.04629,-1.0,stop,breakout,True,41,0,7.0,0.011653360854309807,0.1062354470506374,-1.1062354470506375,-27.655886176265938,86.96863873486588,ETH,False
ETH,conservative,long,2025-10-07 12:40:00,2025-10-07 13:40:00,4706.71,4687.86,-0.26025515774638486,reversal,breakout,True,12,0,7.0,0.015388439058280686,0.07668094181164069,-0.33693609955802556,-8.42340248895064,78.54523624591523,ETH,False
ETH,conservative,short,2025-10-10 05:10:00,2025-10-10 13:35:00,4334.38,4386.5,-0.6220033568131994,reversal,breakout,True,101,0,7.0,0.019332352031893943,0.07024494473096764,-0.692248301544167,-17.306207538604177,61.23902870731106,ETH,False
ETH,conservative,long,2025-10-25 06:10:00,2025-10-25 06:55:00,3934.38,3928.74,-0.0840787777754794,reversal,breakout,True,9,0,7.0,0.017049686992965146,0.06920948170408517,-0.15328825947956456,-3.832206486989114,57.40682222032194,ETH,False
ETH,conservative,short,2025-10-29 10:55:00,2025-10-29 17:55:00,3989.07,4013.8,-0.31101330147026934,reversal,breakout,True,84,0,7.0,0.01993303804181468,0.06642238866060302,-0.37743569013087236,-9.43589225327181,47.97092996705013,ETH,False
ETH,conservative,short,2025-10-30 17:10:00,2025-10-30 21:45:00,3758.65,3766.71,-0.07051694326843534,reversal,breakout,True,55,0,7.0,0.030409527810617502,0.041631688853714315,-0.11214863212214965,-2.8037158030537412,45.16721416399639,ETH,False
ETH,conservative,long,2025-11-09 11:55:00,2025-11-10 09:25:00,3428.37,3606.46,1.9754989077239793,reversal,breakout,True,258,1,7.0,0.020266376022789107,0.11161344275150276,1.8638854649724765,46.597136624311915,91.7643507883083,ETH,False
ETH,conservative,short,2025-11-20 15:55:00,2025-11-20 21:30:00,2955.68,2875.76,0.7950883979921497,reversal,breakout,True,67,1,7.0,0.0341134726694806,0.05511019116156796,0.7399782068305817,18.49945517076454,110.26380595907284,ETH,False
ETH,conservative,short,2025-11-22 04:10:00,2025-11-22 15:40:00,2735.29,2730.14,0.06926060870795565,reversal,breakout,True,138,0,7.0,0.0271842619978139,0.052677538206303276,0.016583070501652378,0.41457676254130943,110.67838272161416,ETH,False
ETH,conservative,long,2025-11-27 19:40:00,2025-11-28 08:10:00,3035.88,3016.81,-0.3592299105334838,reversal,breakout,True,150,0,7.0,0.017486125933831337,0.08326601361042468,-0.4424959241439085,-11.062398103597712,99.61598461801644,ETH,False
ETH,conservative,short,2025-12-07 14:10:00,2025-12-07 15:55:00,3025.58,3025.58,0.26664,stop,breakout,True,21,1,7.0,0.011729324625361248,0.1524384444210855,0.11420155557891448,2.855038889472862,102.4710235074893,ETH,False
ETH,conservative,short,2025-12-11 14:25:00,2025-12-11 18:40:00,3186.01,3231.86,-0.6016656373025479,reversal,breakout,True,51,0,7.0,0.02391866834236245,0.052594901270985525,-0.6542605385735334,-16.356513464338335,86.11451004315097,ETH,False
ETH,conservative,long,2025-12-20 03:25:00,2025-12-20 04:10:00,2990.23,2981.58,-0.15211118008381308,reversal,breakout,True,9,0,7.0,0.019017366557087474,0.062048548964853,-0.2141597290486661,-5.3539932262166525,80.76051681693431,ETH,False
ETH,conservative,short,2026-01-09 14:40:00,2026-01-09 15:25:00,3072.73,3129.0607942016168,-1.0,stop,breakout,True,9,0,7.0,0.018332490717250377,0.06436659470879491,-1.0643665947087948,-26.60916486771987,54.151351949214444,ETH,False
ETH,conservative,long,2026-01-27 02:55:00,2026-01-27 11:10:00,2945.25,2906.59,-0.5772436468350938,reversal,breakout,True,99,0,7.0,0.02273947969286797,0.05954401852143828,-0.6367876653565321,-15.919691633913303,38.23166031530114,ETH,False
ETH,conservative,short,2026-01-29 11:55:00,2026-01-30 12:00:00,2929.29,2759.74,2.3618460902860354,reversal,breakout,True,289,1,7.0,0.01841785851496858,0.12618187929455732,2.235664210991478,55.89160527478695,94.1232655900881,ETH,False
ETH,conservative,short,2026-02-24 01:10:00,2026-02-24 14:40:00,1845.7,1827.84,0.5299184351256754,reversal,breakout,True,162,1,7.0,0.024503916817831123,0.08447629068401395,0.4454421444416614,11.136053611041536,105.25931920112963,ETH,False
ETH,conservative,long,2026-03-12 14:10:00,2026-03-12 14:50:00,2080.21,2043.03,-0.785299394001336,reversal,breakout,True,8,0,7.0,0.022759721491209067,0.05184597713358551,-0.8371453711349215,-20.92863427837304,84.33068492275659,ETH,False
ETH,conservative,long,2026-03-15 08:55:00,2026-03-15 13:15:00,2112.93,2092.52,-0.7229395156218312,reversal,breakout,True,52,0,7.0,0.013361522013968034,0.09430063421538397,-0.8172401498372152,-20.43100374593038,63.899681176826206,ETH,False
ETH,conservative,long,2026-03-18 03:25:00,2026-03-18 11:25:00,2339.8,2295.16,-1.1715305479739664,reversal,breakout,True,96,0,7.0,0.01628515257714346,0.08277478479949554,-1.254305332773462,-31.357633319336546,32.54204785748966,ETH,False
ETH,conservative,short,2026-03-20 13:55:00,2026-03-20 21:25:00,2127.39,2151.93,-0.4753341478967102,reversal,breakout,True,90,0,7.0,0.02426768951626188,0.05505262456505144,-0.5303867724617616,-13.25966931154404,19.282378545945626,ETH,False
ETH,conservative,long,2026-03-25 00:40:00,2026-03-25 15:15:00,2165.13,2152.46,-0.23649627316031924,reversal,breakout,True,175,0,7.0,0.024743910490988317,0.06086345974087169,-0.29735973290119094,-7.433993322529774,11.848385223415853,ETH,False
ETH,conservative,short,2026-04-02 13:40:00,2026-04-02 14:35:00,2020.33,2060.42,-0.8614175126105057,reversal,breakout,True,11,0,7.0,0.02303562748249509,0.05122499922768282,-0.9126425118381886,-22.816062795954714,-10.96767757253886,ETH,False
ETH,conservative,short,2026-04-03 00:40:00,2026-04-03 01:25:00,2053.41,2059.27,-0.2227489809044114,reversal,breakout,True,9,0,7.0,0.012811683979331938,0.09210342698927006,-0.31485240789368146,-7.871310197342036,-18.838987769880898,ETH,False
ETH,conservative,short,2026-04-03 01:40:00,2026-04-04 04:25:00,2048.27,2050.78,-0.07981521029877692,reversal,breakout,True,321,0,7.0,0.015353268856156593,0.1171086116478062,-0.19692382194658312,-4.923095548664578,-23.762083318545475,ETH,False
ETH,conservative,short,2026-04-13 07:25:00,2026-04-13 14:20:00,2184.44,2211.32,-0.7708731434370911,reversal,breakout,True,83,0,7.0,0.015962695470961113,0.08281809312248958,-0.8536912365595807,-21.342280913989516,-45.10436423253499,ETH,False
ETH,conservative,long,2026-04-14 13:55:00,2026-04-14 14:40:00,2391.5,2371.35,-0.5154143419731984,reversal,breakout,True,9,0,7.0,0.01634738030524773,0.07218281938551366,-0.587597161358712,-14.6899290339678,-59.79429326650279,ETH,False
ETH,conservative,long,2026-04-15 15:10:00,2026-04-16 06:55:00,2347.42,2356.01,0.20835101931916297,reversal,breakout,True,189,0,7.0,0.017563324841741217,0.08734109366093808,0.1210099256582249,3.0252481414556223,-56.76904512504717,ETH,False
ETH,conservative,short,2026-04-19 01:25:00,2026-04-20 07:20:00,2344.35,2323.71,0.681554214141713,reversal,breakout,True,359,1,7.0,0.014146838142768813,0.17417319510787496,0.507381019033838,12.68452547584595,-44.08451964920122,ETH,False
ETH,conservative,long,2026-04-22 21:40:00,2026-04-22 22:25:00,2406.05,2397.05,-0.35387095505838884,reversal,breakout,True,9,0,7.0,0.010570437023337001,0.11163209216372434,-0.46550304722211316,-11.637576180552829,-55.722095829754046,ETH,False
ETH,conservative,long,2026-05-02 09:25:00,2026-05-03 01:35:00,2305.7,2305.7,0.26664,stop,breakout,True,194,1,7.0,0.01107133719571689,0.1927499779182563,0.0738900220817437,1.8472505520435925,-53.874845277710456,ETH,False
ETH,conservative,short,2026-05-12 06:40:00,2026-05-13 00:25:00,2306.61,2283.28,0.7454445674831949,reversal,breakout,True,213,1,7.0,0.014083569417885557,0.15422226678143464,0.5912223007017603,14.780557517544008,-39.09428776016645,ETH,False
ETH,conservative,short,2026-05-14 11:40:00,2026-05-14 12:40:00,2254.15,2259.66,-0.23622519849775428,reversal,breakout,True,12,0,7.0,0.010347669853381437,0.11403533517397607,-0.3502605336717304,-8.756513341793259,-47.85080110195971,ETH,False
ETH,conservative,short,2026-05-15 12:10:00,2026-05-16 04:55:00,2251.85,2225.98,0.7302966011192937,reversal,breakout,True,201,1,7.0,0.016519274832448878,0.13002992091279184,0.6002666802065019,15.006667005162546,-32.84413409679716,ETH,False
ETH,conservative,short,2026-06-10 05:10:00,2026-06-10 12:45:00,1622.48,1641.34,-0.47151570334512954,reversal,breakout,True,91,0,7.0,0.02465279562224195,0.05427376353182621,-0.5257894668769557,-13.144736671923893,-45.98887076872106,ETH,False
ETH,conservative,long,2026-06-11 11:10:00,2026-06-11 17:25:00,1662.43,1654.23,-0.22145564215627797,reversal,breakout,True,75,0,7.0,0.02227325736600108,0.058635339166580015,-0.280090981322858,-7.002274533071449,-52.99114530179251,ETH,False
