symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,dynamic_threshold_active,drift_stop_tightened,soft_trim_done,soft_tighten_done,used_real_cvd,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin,use_adverse_drift,dynamic_threshold_enabled,drift_stop_tighten_enabled,obv_confirmation_bonus,soft_exit_enabled
SOL,conservative,long,2025-08-14 02:40:00,2025-08-14 06:00:00,205.11,205.11,0.26664,stop,breakout,True,40,1,7.0,0.035760570289818994,False,True,False,False,False,0.051061825502258865,0.21557817449774114,5.389454362443528,5.389454362443528,SOL,True,False,True,0.0,False
SOL,conservative,long,2025-09-03 13:40:00,2025-09-03 18:35:00,212.05,209.49051387160964,-0.529101489717733,stop,breakout,True,59,0,7.0,0.02281263852864908,False,True,False,False,False,0.0558462362168259,-0.5849477259345589,-14.623693148363973,-9.234238785920445,SOL,True,False,True,0.0,False
SOL,conservative,long,2025-09-09 22:55:00,2025-09-10 16:55:00,217.21,223.77,1.2188958441074496,max_hold_time,breakout,True,216,3,7.0,0.024032593169761692,False,True,False,False,False,0.11517691746568386,1.1037189266417657,27.592973166044143,18.3587343801237,SOL,True,False,True,0.0,False
SOL,conservative,long,2025-09-11 22:10:00,2025-09-12 16:10:00,227.49,238.77,1.7294214021763141,max_hold_time,breakout,True,216,1,7.0,0.022599447090421658,False,True,False,False,False,0.09637403920926471,1.6330473629670494,40.82618407417623,59.18491845429993,SOL,True,False,True,0.0,False
SOL,conservative,long,2025-09-12 22:10:00,2025-09-13 05:35:00,241.9,241.9,0.26664,stop,breakout,True,89,1,7.0,0.02198439744777551,False,True,False,False,False,0.08751661284192622,0.17912338715807377,4.478084678951844,63.66300313325178,SOL,True,False,True,0.0,False
SOL,conservative,long,2025-09-13 08:55:00,2025-09-13 11:10:00,243.49,241.6904406869506,-0.36240138866216076,stop,breakout,True,27,0,7.0,0.02039366038027426,False,True,False,False,False,0.05933216389002784,-0.4217335525521886,-10.543338813804715,53.11966431944706,SOL,True,False,True,0.0,False
SOL,conservative,short,2025-09-17 16:10:00,2025-09-17 17:50:00,232.98,235.883922910624,-0.5972773023339009,stop,breakout,True,20,0,7.0,0.02086846143714071,False,True,False,False,False,0.05731136450104631,-0.6545886668349472,-16.36471667087368,36.75494764857338,SOL,True,False,True,0.0,False
SOL,conservative,short,2025-09-22 00:25:00,2025-09-22 13:10:00,234.75,223.95167104379354,2.307682007575239,stop,breakout,True,153,1,7.0,0.015025518394289901,False,True,False,False,False,0.13656766749424198,2.171114340080997,54.27785850202492,91.0328061505983,SOL,True,False,True,0.0,False
SOL,conservative,short,2025-09-25 00:25:00,2025-09-25 14:15:00,210.55,202.23439661598673,1.3061805638129451,stop,breakout,True,166,3,7.0,0.02600938112476236,False,True,False,False,False,0.10257837305709351,1.2036021907558516,30.09005476889629,121.1228609194946,SOL,True,False,True,0.0,False
SOL,conservative,short,2025-09-28 09:55:00,2025-09-28 13:55:00,200.7,200.7,0.26664,stop,breakout,True,48,1,7.0,0.01829209003762198,False,True,False,False,False,0.10069926379169872,0.16594073620830127,4.148518405207532,125.27137932470212,SOL,True,False,True,0.0,False
SOL,conservative,short,2025-10-16 04:55:00,2025-10-16 09:45:00,192.45,192.45,0.26664,stop,breakout,True,58,1,7.0,0.03738961294800669,False,True,False,False,False,0.049799927123858244,0.21684007287614174,5.421001821903544,130.69238114660567,SOL,True,False,True,0.0,False
SOL,conservative,long,2025-10-25 05:55:00,2025-10-25 09:30:00,194.47,193.41641749582706,-0.4762062438350824,stop,breakout,True,43,0,7.0,0.011376819046639678,False,True,False,False,False,0.10916935523966553,-0.585375599074748,-14.6343899768687,116.05799116973697,SOL,True,False,True,0.0,False
SOL,conservative,short,2025-11-02 00:55:00,2025-11-02 04:25:00,185.1,186.23169311945907,-0.512746529168813,stop,breakout,True,42,0,7.0,0.011923933009184243,False,True,False,False,False,0.10399253325600767,-0.6167390624248207,-15.418476560620517,100.63951460911645,SOL,True,False,True,0.0,False
SOL,conservative,short,2025-11-09 02:40:00,2025-11-09 05:25:00,156.25,157.78507180196152,-0.3994390920121434,stop,breakout,True,33,0,7.0,0.024595638556716586,False,True,False,False,False,0.04968360537507963,-0.44912269738722305,-11.228067434680575,89.41144717443586,SOL,True,False,True,0.0,False
SOL,conservative,short,2025-11-29 06:25:00,2025-11-29 16:15:00,136.71,137.59674229691888,-0.30499952051022783,stop,breakout,True,118,0,7.0,0.02126659618041561,False,True,False,False,False,0.06545476239784398,-0.3704542829080718,-9.261357072701795,80.15009010173407,SOL,True,False,True,0.0,False
SOL,conservative,short,2025-11-30 03:10:00,2025-11-30 08:20:00,135.65,136.78505784748825,-0.47741598860815704,stop,breakout,True,62,0,7.0,0.01752674379216908,False,True,False,False,False,0.07303124956798317,-0.5504472381761402,-13.761180954403503,66.38890914733057,SOL,True,False,True,0.0,False
SOL,conservative,short,2025-12-07 13:55:00,2025-12-07 15:55:00,131.73,131.73,0.26664,stop,breakout,True,24,1,7.0,0.015133910271008973,False,False,False,False,False,0.11854173626472775,0.14809826373527224,3.702456593381806,70.09136574071238,SOL,True,False,True,0.0,False
