symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin
SOL,balanced,short,2025-07-28 21:55:00,2025-07-30 09:55:00,184.28,179.12,0.8711850905059396,max_hold_time,trend_following,False,432,1,11.0,0.030879712946863713,0.08617013686260142,0.7850149536433382,19.625373841083455,19.625373841083455,SOL
SOL,balanced,short,2025-07-30 10:10:00,2025-07-30 14:50:00,179.69,179.69,0.26664,stop,trend_following,False,56,1,11.0,0.016987923646279702,0.1096857610224424,0.1569542389775576,3.92385597443894,23.549229815522395,SOL
SOL,balanced,short,2025-07-30 19:55:00,2025-07-31 08:40:00,176.12,182.0747403069691,-1.0,stop,trend_following,False,153,0,11.0,0.03381069899482788,0.04374623870737396,-1.043746238707374,-26.09365596768435,-2.544426152161954,SOL
SOL,balanced,short,2025-07-31 08:45:00,2025-08-01 20:45:00,181.83,163.31,3.17531540808155,max_hold_time,mean_reversion,False,432,1,11.0,0.02334590100504179,0.11397757106630582,3.061337837015244,76.5334459253811,73.98901977321916,SOL
SOL,balanced,short,2025-08-01 21:10:00,2025-08-03 09:10:00,164.34,160.92,0.6081364436955828,max_hold_time,trend_following,False,432,1,11.0,0.04062815430216638,0.06549421544279223,0.5426422282527906,13.566055706319766,87.55507547953891,SOL
SOL,balanced,short,2025-08-03 11:10:00,2025-08-04 13:55:00,162.9,165.47,-0.6611181547665591,reversal,mean_reversion,False,321,0,11.0,0.023863434874609266,0.07691493513398073,-0.7380330899005398,-18.450827247513494,69.10424823202541,SOL
SOL,balanced,long,2025-08-04 15:55:00,2025-08-04 19:35:00,165.49,165.49,0.26664,stop,trend_following,False,44,1,11.0,0.023288871313930145,0.07891661056066157,0.18772338943933842,4.693084735983461,73.79733296800887,SOL
SOL,balanced,long,2025-08-04 20:55:00,2025-08-05 12:35:00,167.29,167.29,0.26664,stop,trend_following,False,188,1,11.0,0.02648424346445119,0.08092862219040728,0.1857113778095927,4.642784445239818,78.44011741324869,SOL
SOL,balanced,short,2025-08-05 21:55:00,2025-08-06 14:55:00,162.38,167.4316674155287,-1.0,stop,trend_following,False,204,0,11.0,0.031110157750515444,0.05102104399475213,-1.051021043994752,-26.275526099868802,52.16459131337989,SOL
SOL,balanced,long,2025-08-06 16:55:00,2025-08-08 04:55:00,167.74,174.48,1.2023872255556483,max_hold_time,trend_following,False,432,1,11.0,0.028628273978699166,0.09294689204417064,1.1094403335114775,27.736008337786938,79.90059965116683,SOL
SOL,balanced,long,2025-08-08 06:55:00,2025-08-08 15:35:00,175.07,175.07,0.26664,stop,trend_following,False,104,1,11.0,0.02136489731129297,0.09198038663695253,0.17465961336304747,4.366490334076187,84.26708998524302,SOL
SOL,balanced,long,2025-08-08 18:25:00,2025-08-10 06:25:00,178.24,180.73,0.5997605615409443,max_hold_time,trend_following,False,432,1,11.0,0.027959100089766598,0.09517148557592592,0.5045890759650183,12.614726899125458,96.88181688436848,SOL
SOL,balanced,long,2025-08-10 17:10:00,2025-08-11 10:45:00,182.0,182.0,0.26664,stop,trend_following,False,211,1,11.0,0.025645659340659457,0.0854772803070714,0.18116271969292858,4.529067992323214,101.4108848766917,SOL
SOL,balanced,short,2025-08-11 22:55:00,2025-08-12 15:20:00,174.69,179.89337726386083,-1.0,stop,trend_following,False,197,0,11.0,0.02978634875414065,0.05279009708115558,-1.0527900970811557,-26.31975242702889,75.09113244966281,SOL
SOL,balanced,short,2025-08-12 18:25:00,2025-08-12 18:30:00,188.37,187.62,0.13496721234102305,reversal,mean_reversion,False,1,0,11.0,0.029499947813962354,0.04000007076085419,0.09496714158016886,2.3741785395042214,77.46531098916702,SOL
SOL,balanced,short,2025-08-12 18:35:00,2025-08-12 18:40:00,188.14,188.47,-0.05938557343005239,reversal,mean_reversion,False,1,0,11.0,0.029536011319847396,0.03995123062561505,-0.09933680405566744,-2.483420101391686,74.98189088777534,SOL
SOL,balanced,short,2025-08-12 18:45:00,2025-08-12 18:50:00,188.53,188.09,0.07918076457339977,reversal,mean_reversion,False,1,0,11.0,0.02947491205493072,0.040034046507107506,0.03914671806629227,0.9786679516573067,75.96055883943264,SOL
