coin,strategy,days,total_trades,win_rate_pct_gross,avg_r_gross,total_r_gross,avg_bars_held,breakout_extension_trades,win_rate_pct_net,avg_r_net,total_r_net,avg_fee_interest_r_cost
BTC,ultra-short,365,656,55.0,0.135,88.55,143.1,162,34.6,-0.102,-66.89,0.237
BTC,aggressive,365,503,57.7,0.151,76.11,164.5,129,38.2,-0.065,-32.5,0.216
BTC,balanced,365,391,51.9,0.068,26.7,185.7,103,39.1,-0.101,-39.53,0.169
BTC,conservative,365,115,51.3,-0.068,-7.77,263.4,115,50.4,-0.205,-23.57,0.137
BTC,swing-trend,365,207,58.0,0.12,24.79,276.6,59,57.0,-0.017,-3.58,0.137
