timestamp,direction,coins_in_basket,combined_r,closed_coin,closed_unrealized_r,real_early_close
2025-08-14 08:55:00,long,"['SOL', 'ETH']",-0.358,SOL,-0.237,True
2025-09-10 09:50:00,long,"['DOGE', 'ETH']",-0.269,DOGE,-0.136,True
