symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,dynamic_threshold_active,drift_stop_tightened,soft_trim_done,soft_tighten_done,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total
SOL,conservative,long,2025-08-14 02:40:00,2025-08-14 12:30:00,205.11,197.7722116988802,-1.0,stop,breakout,True,118,0,7.0,0.03577489298971193,False,False,False,False,0.03890996963709461,-1.0389099696370947,-25.972749240927367,-25.972749240927367
SOL,conservative,long,2025-09-03 13:40:00,2025-09-04 04:55:00,212.05,207.21257999999997,-1.0,stop,breakout,True,183,0,7.0,0.02281263852864908,False,False,False,False,0.0667174030785,-1.0667174030785,-26.6679350769625,-52.640684317889864
SOL,conservative,long,2025-09-09 22:55:00,2025-09-10 16:55:00,217.21,223.77,1.1044660205951913,max_hold_time,breakout,True,216,1,7.0,0.024032593169761692,False,False,False,False,0.0906269242197469,1.0138390963754444,25.345977409386112,-27.294706908503752
SOL,conservative,long,2025-09-11 22:10:00,2025-09-12 16:10:00,227.49,238.77,1.7294214021763143,max_hold_time,breakout,True,216,1,7.0,0.022599447090421658,False,False,False,False,0.09637403920926471,1.6330473629670497,40.82618407417624,13.531477165672488
SOL,conservative,long,2025-09-12 22:10:00,2025-09-13 16:10:00,241.9,238.84,-0.575401502004433,max_hold_time,breakout,True,216,0,7.0,0.02198439744777551,False,False,False,False,0.0722330463580971,-0.6476345483625301,-16.19086370906325,-2.659386543390763
SOL,conservative,short,2025-09-17 16:10:00,2025-09-17 19:25:00,232.98,237.84193414562503,-1.0,stop,breakout,True,39,0,7.0,0.02086846143714071,False,False,False,False,0.059132294142383905,-1.059132294142384,-26.4783073535596,-29.137693896950363
SOL,conservative,short,2025-09-22 00:25:00,2025-09-22 18:25:00,234.75,220.45,2.9695490173762895,max_hold_time,breakout,True,216,1,7.0,0.015025518394289901,False,False,False,False,0.14495340146318667,2.8245956159131027,70.61489039782757,41.4771965008772
SOL,conservative,short,2025-09-25 00:25:00,2025-09-25 18:25:00,210.55,197.85,1.8129702649084667,max_hold_time,breakout,True,216,1,7.0,0.026006186595670177,False,False,False,False,0.08374930295865136,1.7292209619498153,43.23052404874538,84.70772054962258
SOL,conservative,short,2025-09-28 09:55:00,2025-09-28 17:05:00,200.7,204.37122092665467,-1.0,stop,breakout,True,86,0,7.0,0.01829208234506569,False,False,False,False,0.07259971691294237,-1.0725997169129424,-26.81499292282356,57.892727626799015
SOL,conservative,short,2025-10-16 04:55:00,2025-10-16 22:55:00,192.45,183.14,1.1292440450810588,max_hold_time,breakout,True,216,1,7.0,0.03738959236029893,False,False,False,False,0.05825150429595609,1.0709925407851026,26.774813519627568,84.66754114642659
