symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin,use_adverse_drift
SOL,conservative,long,2025-08-14 02:40:00,2025-08-14 06:15:00,205.11,204.42,-0.09403378398021181,reversal,breakout,True,43,0,7.0,0.03577489298971193,0.03471708497792493,-0.12875086895813675,-3.218771723953419,-3.218771723953419,SOL,False
SOL,conservative,long,2025-09-03 13:40:00,2025-09-04 02:35:00,212.05,208.45,-0.7441983536678632,reversal,breakout,True,155,0,7.0,0.02281263852864908,0.06426262346457359,-0.8084609771324368,-20.21152442831092,-23.43029615226434,SOL,False
SOL,conservative,long,2025-09-09 22:55:00,2025-09-10 16:55:00,217.21,223.77,1.1044660205951913,max_hold_time,breakout,True,216,1,7.0,0.024032593169761692,0.0906269242197469,1.0138390963754444,25.345977409386112,1.915681257121772,SOL,False
SOL,conservative,long,2025-09-11 22:10:00,2025-09-12 16:10:00,227.49,238.77,1.7294214021763143,max_hold_time,breakout,True,216,1,7.0,0.022599447090421658,0.09637403920926471,1.6330473629670497,40.82618407417624,42.741865331298015,SOL,False
SOL,conservative,long,2025-09-12 22:10:00,2025-09-13 14:00:00,241.9,239.55,-0.44189331036288015,reversal,breakout,True,190,0,7.0,0.02198439744777551,0.0698677324975045,-0.5117610428603847,-12.794026071509618,29.947839259788395,SOL,False
SOL,conservative,short,2025-09-17 16:10:00,2025-09-17 19:25:00,232.98,237.84193414562503,-1.0,stop,breakout,True,39,0,7.0,0.02086846143714071,0.059132294142383905,-1.059132294142384,-26.4783073535596,3.469531906228795,SOL,False
SOL,conservative,short,2025-09-22 00:25:00,2025-09-22 13:10:00,234.75,223.99,2.3004372746132047,reversal,breakout,True,153,1,7.0,0.015025518394289901,0.13656766749424198,2.1638696071189627,54.09674017797407,57.566272084202865,SOL,False
SOL,conservative,short,2025-09-25 00:25:00,2025-09-25 14:30:00,210.55,203.93,1.0726798703696097,reversal,breakout,True,169,1,7.0,0.026006186595670177,0.08013477840488037,0.9925450919647293,24.81362729911823,82.37989938332109,SOL,False
SOL,conservative,short,2025-09-28 09:55:00,2025-09-28 14:55:00,200.7,201.89,-0.32414284614692424,reversal,breakout,True,60,0,7.0,0.01829208234506569,0.0697569569133392,-0.39389980306026345,-9.847495076506586,72.5324043068145,SOL,False
SOL,conservative,short,2025-10-16 04:55:00,2025-10-16 10:20:00,192.45,195.56,-0.4322069471502962,reversal,breakout,True,65,0,7.0,0.03738959236029893,0.034394598037006216,-0.4666015451873024,-11.66503862968256,60.86736567713194,SOL,False
