coin,strategy,days,total_trades,win_rate_pct_gross,avg_r_gross,total_r_gross,avg_bars_held,breakout_extension_trades,win_rate_pct_net,avg_r_net,total_r_net,avg_fee_interest_r_cost
XRP,ultra-short,365.0,629,50.9,0.09,56.9,124.3,84.0,40.1,-0.067,-41.92,0.157
XRP,aggressive,365.0,466,54.3,0.089,41.51,149.3,36.0,47.4,-0.058,-27.12,0.147
XRP,balanced,365.0,267,54.3,0.133,35.56,228.0,48.0,52.1,0.004,1.02,0.129
XRP,conservative,,0,,,,,,,,,
XRP,swing-trend,365.0,254,48.0,0.031,7.93,250.6,34.0,47.2,-0.071,-18.0,0.102
