symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,dynamic_threshold_active,drift_stop_tightened,soft_trim_done,soft_tighten_done,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin,use_adverse_drift,dynamic_threshold_enabled,drift_stop_tighten_enabled,obv_confirmation_bonus,soft_exit_enabled
ETH,conservative,long,2025-08-07 09:25:00,2025-08-08 09:20:00,3724.99,3888.3005230618646,1.5880434102212915,stop,breakout,True,287,3,7.0,0.01854087151767498,False,True,False,False,0.15695055096120492,1.4310928592600867,35.77732148150217,35.77732148150217,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-08-09 03:10:00,2025-08-09 13:55:00,4041.73,4167.674051834569,1.2701986280843562,stop,breakout,True,129,1,7.0,0.020701321454954465,False,True,False,False,0.09680541429979009,1.1733932137845662,29.334830344614154,65.11215182611633,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-08-10 19:25:00,2025-08-10 21:00:00,4242.77,4200.7673322148285,-0.4475364288581239,stop,breakout,True,19,0,7.0,0.02212070651956175,False,True,False,False,0.05397657615248969,-0.5015130050106136,-12.53782512526534,52.57432670085099,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-08-13 18:10:00,2025-08-14 07:05:00,4742.68,4742.68,0.26664,stop,breakout,True,155,1,7.0,0.027927031368613724,False,True,False,False,0.07362042792384553,0.19301957207615444,4.825489301903861,57.39981600275485,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-08-31 09:10:00,2025-08-31 19:55:00,4472.18,4459.955828702344,-0.15613982972526697,stop,breakout,True,129,0,7.0,0.017505980910887956,False,True,False,False,0.08077239471457173,-0.2369122244398387,-5.922805610995967,51.47701039175888,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-09-03 17:25:00,2025-09-04 02:25:00,4480.0,4443.281434179071,-0.3538828326062262,stop,breakout,True,108,0,7.0,0.023160514404754095,False,True,False,False,0.059238753337809,-0.4131215859440352,-10.32803964860088,41.148970743158,ETH,True,False,True,0.0,False
ETH,conservative,short,2025-09-04 18:25:00,2025-09-04 22:55:00,4280.6,4331.111565040807,-0.5440061008641555,stop,breakout,True,54,0,7.0,0.021691141501284743,False,True,False,False,0.058272636316771736,-0.6022787371809272,-15.05696842952318,26.092002313634822,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-09-10 08:55:00,2025-09-10 17:25:00,4332.41,4359.773846316944,0.9600648232850014,stop,breakout,True,102,2,7.0,0.01314922885127828,False,True,False,False,0.19316722134264766,0.7668976019423538,19.172440048558844,45.26444236219366,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-09-12 13:55:00,2025-09-13 13:50:00,4539.64,4701.462367489274,2.201888565161868,stop,breakout,True,287,1,7.0,0.01228035262708056,False,True,False,False,0.1889196564994355,2.0129689086624323,50.324222716560804,95.58866507875447,ETH,True,False,True,0.0,False
ETH,conservative,short,2025-09-16 11:05:00,2025-09-16 17:05:00,4496.01,4482.1657871095595,0.8985614873661149,stop,breakout,True,72,3,7.0,0.010404391894146006,False,True,False,False,0.238360879254785,0.6602006081113299,16.505015202783248,112.09368028153773,ETH,True,False,True,0.0,False
ETH,conservative,short,2025-09-17 14:25:00,2025-09-17 17:50:00,4474.32,4514.2563644798865,-0.529030324226739,stop,breakout,True,41,0,7.0,0.016871780603710976,False,True,False,False,0.07337696174923587,-0.6024072859759749,-15.060182149399374,97.03349813213836,ETH,True,False,True,0.0,False
ETH,conservative,short,2025-09-19 11:55:00,2025-09-20 15:15:00,4513.8,4497.831487112447,0.8787624634288743,stop,breakout,True,328,2,7.0,0.014959861441119026,False,True,False,False,0.2000018524086138,0.6787606110202605,16.969015275506514,114.00251340764487,ETH,True,False,True,0.0,False
ETH,conservative,short,2025-09-23 02:25:00,2025-09-23 06:30:00,4159.01,4205.894069264756,-0.7263291811311434,stop,breakout,True,49,0,7.0,0.015520361816874585,False,True,False,False,0.08079708545432122,-0.8071262665854646,-20.178156664636614,93.82435674300825,ETH,True,False,True,0.0,False
ETH,conservative,short,2025-09-26 07:40:00,2025-09-26 12:30:00,3908.91,3908.91,0.26664,stop,breakout,True,58,1,7.0,0.030183061262602572,False,True,False,False,0.06169023028512538,0.2049497697148746,5.123744242871865,98.94810098588012,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-09-28 00:25:00,2025-09-28 10:00:00,4029.45,3989.424551882768,-0.736078745793027,stop,breakout,True,115,0,7.0,0.0134947907275765,False,True,False,False,0.1027062981545701,-0.8387850439475971,-20.96962609868993,77.97847488719019,ETH,True,False,True,0.0,False
ETH,conservative,short,2025-09-28 11:40:00,2025-09-28 13:55:00,3987.62,4006.152682139229,-0.3956340769433859,stop,breakout,True,27,0,7.0,0.01174710417404307,False,True,False,False,0.10300410910406929,-0.49863818604745525,-12.465954651186381,65.51252023600381,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-10-02 15:55:00,2025-10-02 22:20:00,4437.09,4463.990964144305,0.907700729507946,stop,breakout,True,77,3,7.0,0.018748382385752802,False,True,False,False,0.13281145801102237,0.7748892714969237,19.372231787423093,84.8847520234269,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-10-03 02:10:00,2025-10-03 05:45:00,4493.27,4470.868665650539,-0.26608279653399625,stop,breakout,True,43,0,7.0,0.01873676352836575,False,True,False,False,0.06628679484158112,-0.33236959137557737,-8.309239784389435,76.57551223903747,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-10-03 10:55:00,2025-10-03 14:15:00,4489.56,4449.722221378397,-0.6037124722919796,stop,breakout,True,40,0,7.0,0.0146980995910513,False,True,False,False,0.08409250409165268,-0.6878049763836322,-17.195124409590807,59.38038782944666,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-10-03 15:40:00,2025-10-03 17:00:00,4501.37,4501.37,0.26664,stop,breakout,True,16,1,7.0,0.01728318267549652,False,False,False,False,0.10287457081158928,0.1637654291884107,4.094135729710267,63.47452355915693,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-10-06 06:10:00,2025-10-07 08:05:00,4548.07,4666.249939034887,1.3249789906959615,stop,breakout,True,311,1,7.0,0.016369004946353263,False,True,False,False,0.1446636498529222,1.1803153408430394,29.507883521075982,92.98240708023292,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-10-07 12:40:00,2025-10-07 14:25:00,4706.71,4650.08882176817,-0.7817482054382336,stop,breakout,True,21,0,7.0,0.015388439058280686,False,True,False,False,0.07785065109351318,-0.8595988565317468,-21.48997141329367,71.49243566693924,ETH,True,False,True,0.0,False
ETH,conservative,short,2025-10-10 05:10:00,2025-10-10 13:00:00,4334.38,4357.676730670295,-0.27802464849762987,stop,breakout,True,94,0,7.0,0.019332352031893943,False,True,False,False,0.06952077004301953,-0.3475454185406494,-8.688635463516235,62.80380020342301,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-10-25 06:10:00,2025-10-27 08:10:00,3934.38,4191.416481835918,2.0770566492404408,stop,breakout,True,600,3,7.0,0.017049686992965146,False,True,False,False,0.20739383669969927,1.8696628125407415,46.74157031351854,109.54537051694155,ETH,True,False,True,0.0,False
ETH,conservative,short,2025-10-29 10:55:00,2025-10-29 13:05:00,3989.07,4025.047068277634,-0.45246044408605723,stop,breakout,True,26,0,7.0,0.01993303804181468,False,True,False,False,0.060602904457710306,-0.5130633485437676,-12.82658371359419,96.71878680334736,ETH,True,False,True,0.0,False
ETH,conservative,short,2025-10-29 15:10:00,2025-10-30 22:55:00,3977.0,3780.4291141213807,1.8284994618327515,stop,breakout,True,381,3,7.0,0.01601625848629622,False,True,False,False,0.1934284466406871,1.6350710151920644,40.876775379801614,137.59556218314896,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-11-09 11:55:00,2025-11-10 08:35:00,3428.37,3590.59276356911,1.578339324088506,stop,breakout,True,248,2,7.0,0.020266376022789107,False,True,False,False,0.13973884609737214,1.4386004779911339,35.965011949778344,173.5605741329273,ETH,True,False,True,0.0,False
ETH,conservative,short,2025-11-20 15:55:00,2025-11-20 21:40:00,2955.68,2882.533852879443,0.7502982115259813,stop,breakout,True,69,1,7.0,0.0341134726694806,False,True,False,False,0.05522744688744364,0.6950707646385377,17.37676911596344,190.93734324889073,ETH,True,False,True,0.0,False
ETH,conservative,short,2025-11-22 04:10:00,2025-11-22 11:25:00,2735.29,2735.29,0.26664,stop,breakout,True,87,1,7.0,0.0271842619978139,False,True,False,False,0.07062910150565803,0.19601089849434195,4.900272462358549,195.83761571124927,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-11-27 19:40:00,2025-11-28 01:10:00,3035.88,3001.6417569537707,-0.6449607229323836,stop,breakout,True,66,0,7.0,0.017486125933831337,False,True,False,False,0.07365839665537569,-0.7186191195877593,-17.96547798969398,177.8721377215553,ETH,True,False,True,0.0,False
ETH,conservative,short,2025-12-07 14:10:00,2025-12-07 15:55:00,3025.58,3025.58,0.26664,stop,breakout,True,21,1,7.0,0.011729324625361248,False,False,False,False,0.1524384444210855,0.11420155557891448,2.855038889472862,180.72717661102817,ETH,True,False,True,0.0,False
ETH,conservative,short,2025-12-11 14:25:00,2025-12-11 18:40:00,3186.01,3215.4388947583175,-0.38618003751085267,stop,breakout,True,51,0,7.0,0.02391866834236245,False,True,False,False,0.052594901270985525,-0.4387749387818382,-10.969373469545955,169.7578031414822,ETH,True,False,True,0.0,False
ETH,conservative,long,2025-12-20 03:25:00,2025-12-20 15:15:00,2990.23,2971.34474520128,-0.33209923625627086,stop,breakout,True,142,0,7.0,0.019017366557087474,False,True,False,False,0.07572026314354942,-0.40781949939982026,-10.195487484995507,159.5623156564867,ETH,True,False,True,0.0,False
ETH,conservative,short,2026-01-09 14:40:00,2026-01-09 15:25:00,3072.73,3129.0607942016168,-1.0,stop,breakout,True,9,0,7.0,0.018332490717250377,False,False,False,False,0.06436659470879491,-1.0643665947087948,-26.60916486771987,132.95315078876683,ETH,True,False,True,0.0,False
