symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,dynamic_threshold_active,drift_stop_tightened,soft_trim_done,soft_tighten_done,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin,use_adverse_drift,dynamic_threshold_enabled,drift_stop_tighten_enabled,obv_confirmation_bonus,soft_exit_enabled
ETH,conservative,long,2025-08-07 09:25:00,2025-08-09 21:25:00,3724.99,4269.11,5.519186295461677,max_hold_time,breakout,True,720,1,7.0,0.01854087151767498,False,False,False,False,0.1718365825987625,5.347349712862914,133.68374282157285,133.68374282157285,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-08-10 19:25:00,2025-08-11 10:45:00,4242.77,4242.77,0.26664,stop,breakout,True,184,1,7.0,0.02212070651956175,False,False,False,False,0.09556656782777488,0.1710734321722251,4.276835804305628,137.96057862587847,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-08-13 18:10:00,2025-08-14 12:30:00,4742.68,4610.231026868703,-1.0,stop,breakout,True,220,0,7.0,0.027927031368613724,False,False,False,False,0.057148931403919,-1.057148931403919,-26.428723285097977,111.5318553407805,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-08-31 09:10:00,2025-08-31 23:25:00,4472.18,4407.99,-0.8199014416614377,reversal,breakout,True,171,0,7.0,0.017505980910887956,False,False,False,False,0.0855707547966255,-0.9054721964580632,-22.63680491145158,88.89505042932892,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-09-03 17:25:00,2025-09-04 03:40:00,4480.0,4398.67,-0.7838348293946535,reversal,breakout,True,123,0,7.0,0.023160514404754095,False,False,False,False,0.06053406135539958,-0.8443688907500532,-21.109222268751328,67.7858281605776,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-09-04 18:25:00,2025-09-05 07:25:00,4280.6,4373.4511003104,-1.0,stop,breakout,True,156,0,7.0,0.021691141501284743,False,False,False,False,0.06767739724131401,-1.067677397241314,-26.69193493103285,41.09389322954475,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-09-10 08:55:00,2025-09-10 18:45:00,4332.41,4332.41,0.26664,stop,breakout,True,118,1,7.0,0.01314922885127828,False,False,False,False,0.15073127271697942,0.11590872728302057,2.897718182075514,43.99161141162026,ETH,False,False,False,0.0,False
ETH,conservative,long,2025-09-12 13:55:00,2025-09-13 15:40:00,4539.64,4655.67,1.6542534337894634,reversal,breakout,True,309,1,7.0,0.01228035262708056,False,False,False,False,0.192502615502011,1.4617508182874523,36.54377045718631,80.53538186880658,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-09-16 11:05:00,2025-09-16 17:15:00,4496.01,4496.01,0.26664,stop,breakout,True,74,1,7.0,0.010404391894146006,False,False,False,False,0.18203851020506565,0.08460148979493434,2.1150372448733585,82.65041911367994,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-09-17 14:25:00,2025-09-17 22:10:00,4474.32,4548.54,-0.983179895703415,reversal,breakout,True,93,0,7.0,0.016871780603710976,False,False,False,False,0.07954110070070641,-1.0627209964041215,-26.568024910103038,56.08239420357691,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-09-19 11:55:00,2025-09-21 23:55:00,4513.8,4444.97,0.9462164827661766,max_hold_time,breakout,True,720,1,7.0,0.014959861441119026,False,False,False,False,0.21296988695649852,0.7332465958096781,18.33116489524195,74.41355909881887,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-09-23 02:25:00,2025-09-24 05:35:00,4159.01,4159.01,0.26664,stop,breakout,True,326,1,7.0,0.015520361816874585,False,False,False,False,0.15450670727229848,0.1121332927277015,2.803332318192538,77.2168914170114,ETH,False,False,False,0.0,False
ETH,conservative,short,2025-09-26 07:40:00,2025-09-26 16:25:00,3908.91,3981.62,-0.6162759051377555,reversal,breakout,True,105,0,7.0,0.030183061262602572,False,False,False,False,0.04525717216406083,-0.6615330773018164,-16.53832693254541,60.67856448446599,ETH,False,False,False,0.0,False
